iter	MAE
0	7.223141521
1	6.886514677
2	6.566138004
3	6.263730876
4	5.979123849
5	5.707391585
6	5.454814452
7	5.210086354
8	4.985998244
9	4.76422334
10	4.565129703
11	4.365756833
12	4.176658874
13	4.005057176
14	3.851267392
15	3.692315779
16	3.543216865
17	3.416773211
18	3.282336877
19	3.15592765
20	3.038363489
21	2.926282821
22	2.820196884
23	2.718503619
24	2.622180241
25	2.534297922
26	2.450691862
27	2.37774991
28	2.302823104
29	2.224953395
30	2.159817479
31	2.094710305
32	2.031985592
33	1.972004623
34	1.915896066
35	1.863183671
36	1.820627156
37	1.775062346
38	1.728025024
39	1.690823892
40	1.656651969
41	1.618601693
42	1.579962899
43	1.544236795
44	1.50923054
45	1.481893962
46	1.451705556
47	1.42125011
48	1.394522218
49	1.369567944
50	1.34480287
51	1.322208493
52	1.299641959
53	1.278578709
54	1.260423988
55	1.245358007
56	1.227607724
57	1.213146104
58	1.196997642
59	1.182853484
60	1.169224784
61	1.157507554
62	1.146515265
63	1.1369066
64	1.123830708
65	1.112268672
66	1.101394599
67	1.090562215
68	1.082774669
69	1.072074589
70	1.063209212
71	1.054047755
72	1.045429958
73	1.037317923
74	1.032051596
75	1.026769188
76	1.019910788
77	1.01263899
78	1.005564154
79	0.9988767287
80	0.9926622407
81	0.9884585312
82	0.9825704621
83	0.9768876895
84	0.9736404937
85	0.9682368993
86	0.965093486
87	0.9605199843
88	0.9556424169
89	0.9513421465
90	0.9466477803
91	0.9440053785
92	0.9396599519
93	0.934934805
94	0.9301753401
95	0.9273303658
96	0.9237300193
97	0.9209732156
98	0.9175448146
99	0.9138530164
100	0.9102335168
101	0.9079678724
102	0.9060657819
103	0.9029165584
104	0.9000034694
105	0.8981049402
106	0.8951068249
107	0.8927365527
108	0.890389976
109	0.8882839831
110	0.8860492653
111	0.8832323906
112	0.8816507519
113	0.8798405018
114	0.8790544143
115	0.8770631525
116	0.8754594893
117	0.8737919804
118	0.8728996087
119	0.8713128324
120	0.8700380773
121	0.8692060133
122	0.8675109045
123	0.8655570576
124	0.8642789106
125	0.8625429506
126	0.8612479234
127	0.859816956
128	0.8581391249
129	0.8570780226
130	0.8555518937
131	0.8545507557
132	0.8532166717
133	0.8521114133
134	0.8511376592
135	0.8500379347
136	0.8494375544
137	0.8485045648
138	0.8474873391
139	0.8471311861
140	0.8464613048
141	0.8455614005
142	0.8446984095
143	0.8439629345
144	0.8430396565
145	0.8422805289
146	0.8413611043
147	0.8406204472
148	0.8399080057
149	0.8391026243
150	0.8385100641
151	0.837823018
152	0.8373864749
153	0.8365914089
154	0.8359208855
155	0.8348586983
156	0.8335840711
157	0.8321235809
158	0.8312060714
159	0.8297316371
160	0.8287840503
161	0.828235812
162	0.8274376219
163	0.8266121907
164	0.8259356112
165	0.8256443613
166	0.8245434037
167	0.8235891922
168	0.8226609019
169	0.8221148239
170	0.8216368855
171	0.8210685616
172	0.8204052444
173	0.8198437755
174	0.8190912233
175	0.8183768662
176	0.8177227636
177	0.8171594065
178	0.8163306787
179	0.8157178795
180	0.8149377607
181	0.8141406342
182	0.8133592199
183	0.8128289499
184	0.8122922961
185	0.8118775967
186	0.811073633
187	0.8103541966
188	0.8098649268
189	0.8092501131
