iter	Passed	Remaining
0	128	192608
1	188	141399
2	247	123337
3	303	113525
4	360	107847
5	418	104134
6	481	102623
7	536	100091
8	596	98889
9	657	97945
10	717	97182
11	776	96313
12	836	95643
13	895	95034
14	954	94522
15	1011	93826
16	1071	93465
17	1130	93088
18	1186	92467
19	1246	92221
20	1303	91787
21	1363	91573
22	1422	91337
23	1482	91155
24	1539	90847
25	1598	90607
26	1671	91189
27	1729	90924
28	1786	90604
29	1841	90222
30	1897	89928
31	1955	89712
32	2011	89406
33	2066	89090
34	2120	88775
35	2175	88484
36	2231	88238
37	2287	88007
38	2340	87685
39	2395	87442
40	2449	87184
41	2501	86832
42	2555	86579
43	2607	86272
44	2659	86006
45	2713	85771
46	2766	85511
47	2819	85285
48	2873	85084
49	2925	84847
50	2977	84608
51	3029	84358
52	3079	84086
53	3131	83859
54	3184	83676
55	3239	83523
56	3290	83311
57	3343	83122
58	3394	82903
59	3448	82752
60	3499	82550
61	3549	82326
62	3602	82160
63	3654	82004
64	3706	81833
65	3758	81668
66	3810	81508
67	3862	81339
68	3914	81182
69	3966	81024
70	4017	80856
71	4070	80727
72	4120	80553
73	4171	80380
74	4223	80246
75	4273	80072
76	4324	79923
77	4375	79772
78	4429	79682
79	4480	79535
80	4532	79396
81	4585	79290
82	4636	79157
83	4687	79011
84	4738	78879
85	4791	78772
86	4842	78651
87	4892	78509
88	4943	78373
89	4991	78199
90	5040	78049
91	5092	77944
92	5142	77796
93	5196	77724
94	5250	77649
95	5304	77572
96	5359	77520
97	5415	77480
98	5468	77383
99	5521	77297
100	5575	77229
101	5630	77170
102	5682	77071
103	5731	76936
104	5781	76811
105	5834	76727
106	5889	76675
107	5942	76588
108	5999	76562
109	6055	76522
110	6105	76399
111	6163	76388
112	6293	77251
113	6370	77452
114	6434	77495
115	6490	77441
116	6540	77311
117	6594	77231
118	6648	77156
119	6706	77124
120	6758	77020
121	6811	76931
122	6864	76843
123	6916	76755
124	6967	76645
125	7025	76610
126	7076	76502
127	7124	76368
128	7175	76265
129	7226	76159
130	7280	76079
131	7337	76038
132	7387	75934
133	7440	75844
134	7493	75765
135	7541	75640
136	7594	75558
137	7651	75518
138	7706	75457
139	7755	75343
140	7807	75248
141	7858	75156
142	7912	75082
143	7961	74971
144	8011	74864
145	8062	74775
146	8116	74702
147	8167	74607
148	8216	74498
149	8265	74391
150	8316	74299
151	8365	74191
152	8414	74082
153	8469	74025
154	8523	73959
155	8578	73905
156	8630	73827
157	8686	73776
158	8741	73724
159	8795	73659
160	8846	73576
161	8900	73508
162	8952	73433
163	9007	73375
164	9056	73275
165	9108	73194
166	9163	73142
167	9218	73087
168	9268	72998
169	9323	72939
170	9379	72893
171	9431	72823
172	9484	72752
173	9533	72648
174	9588	72595
175	9641	72526
176	9695	72473
177	9747	72392
178	9798	72312
179	9852	72248
180	9909	72210
181	9961	72138
182	10015	72079
183	10065	71987
184	10118	71926
185	10173	71868
