t,owner,stored_on,buyer,qty_kWh
19,9,8,9,0.22495084354946507
20,9,8,9,0.5492388083061169
20,9,10,9,0.039968743800537526
20,9,14,9,0.5091254016713415
20,12,24,12,0.22803005330553844
20,12,25,12,0.07018731019572329
20,17,10,17,0.00421742423924516
20,17,20,17,0.2307769356804421
20,17,21,17,0.019859515423737522
21,9,8,9,0.5483275959425611
21,9,10,9,0.02910865313774398
21,9,14,9,0.5082807392884449
21,12,7,12,0.31724435114668076
21,12,24,12,0.2486771545939445
21,12,25,12,0.17824728296589326
21,17,10,17,0.015004208023487665
21,17,20,17,0.27014708363066564
21,17,21,17,0.01982656757716392
22,9,8,9,0.5229025485301791
22,9,10,9,0.0392903655324556
22,9,14,9,0.48471259865347477
22,12,7,12,0.33262110962170355
22,12,24,12,0.2146841043824348
22,12,25,12,0.16998225006572376
22,17,10,17,0.0027770549199381267
22,17,20,17,0.3143230887764181
22,17,21,17,0.018907242297159243
23,9,8,9,0.5137904248946226
23,9,14,9,0.25305286062729043
23,12,7,12,0.46940663185182974
23,12,25,12,0.06226736808352649
23,15,24,15,0.3272980498216672
23,15,25,15,0.10475276354769597
23,16,24,16,0.39364685828462886
23,17,10,17,0.041334351666883644
23,17,14,17,0.2232131141972177
23,17,20,17,0.046400653804047565
23,17,21,17,0.01857776383142328
24,9,8,9,0.11762503241805772
24,12,14,12,0.10293251855846193
24,15,14,15,0.056653831165900975
24,16,14,16,0.15561172884466995
24,17,8,17,0.315689691292123
24,19,7,19,0.1825482215802064
24,19,25,19,0.050296288721422444
24,22,20,22,0.23832416275633303
24,22,24,22,0.2423382671549984
25,17,8,17,0.005828746091508963
25,22,8,22,0.031003630125793016
43,9,8,9,0.39143267528808273
44,9,8,9,0.6461017896469161
44,9,14,9,0.3863199569033944
44,12,24,12,0.36187786035819597
44,17,14,17,0.19029713210431343
44,22,5,22,0.13387538049926562
45,9,8,9,0.642507284481283
45,9,14,9,0.3057828827913371
45,12,24,12,0.6581721071567288
45,16,20,16,0.04034802520007422
45,16,24,16,0.12507838131020438
45,17,11,17,0.005964773939552082
45,17,14,17,0.29662620838624953
45,22,5,22,0.2537595901220726
46,9,8,9,0.5912066471987852
46,9,14,9,0.2903092387753901
46,12,7,12,0.10115201776042748
46,12,24,12,0.30942171604564495
46,12,25,12,0.2020959487031831
46,16,20,16,0.08756606588401183
46,16,24,16,0.6056751400728815
46,17,11,17,0.04832004842787718
46,17,14,17,0.2859771230970024
46,22,2,22,0.09952016013855544
46,22,3,22,0.03772693772375024
46,22,5,22,0.06153994651999835
