owner,stored_on,qty_kWh,hours_remaining
12,14,0.02744794230071217,0
13,8,0.10986887317796445,1
13,8,0.019828239762223684,2
13,10,0.02644196989061376,0
13,11,0.3721884022752837,0
13,14,0.17520249561936374,0
13,20,0.04608017379761812,0
13,21,0.011884368619696897,0
16,14,0.08381989878911177,0
17,8,0.3286765220037026,0
17,14,0.01820144495378866,0
19,24,0.14896817842688642,0
22,20,0.40455972625882786,0
23,8,0.10011454083138377,1
23,8,0.01710871474469233,2
23,20,0.3413134244387755,0
23,24,0.2398268681108874,0
